"OfferId","CustomerID","Meter Read Start","Meter Read End","Fixed Charge (Rand)","Consumption","Consumption(Rand)","Off-Peak (WH)","Off-Peak (Rand)","On-Peak (WH)","On-Peak (Rand)","Standard (WH)","Standard (Rand)","BCO DATE","MeterId","onMode","offMode"
"E_DOM_1C","1000006-5006743461","37326642","37347442","0","20800","40.47","0","0","0","0","0","0","NAN","SEADC0002005715","2","0"
"E_DOM_1C","1000413-5005748027","26293900","26315424","0","21524","41.88","0","0","0","0","0","0","NAN","SEADC0001844815","2","0"
"E_LOWV_DS_TOU","100084-3311006084","51691740","51709140","0","17400","18.07","2520","1.7","3960","5.98","10920","10.39","NAN","SECDA0000549014","1","1"
"E_DOM_BULK","100138-5008094526","964841258","965555756","0","714498","1087.89","0","0","0","0","0","0","NAN","SECDA0000145114","0","2"
"E_11KV_DS_TOU","100193-5010541619","2381448300","2383362000","0","1913700","1792.5","402600","247.7","429300","604.28","1081800","940.52","NAN","SECDA0000091614","0","2"
"E_LOWV_DS_TOU","1002804-5004914102","315997760","316259600","0","261840","273.11","40160","27.06","62720","94.78","158960","151.27","NAN","SECDA0000174714","1","1"
"E_DOM_1C","1002808-5004914233","20831592","20849252","0","17660","34.36","0","0","0","0","0","0","NAN","SEADC0001993915","1","1"
"E_LOWV_DS_TOU","100297-3303621745","2388275519","2390464959","0","2189440","2329","320320","215.86","597760","903.28","1271360","1209.86","NAN","SECDA0001477814","1","1"
"E_DOM_3C","100346-5008382067","57003697","57063566","0","59869","125.58","0","0","0","0","0","0","NAN","SEBDC0000658514","0","2"
"ENDOM3C68","100364-5000317118","0","0","0","0","0","0","0","0","0","0","0","NAN","SEBDC0000851914","2","0"
"E_LOWV_DS_TOU","100429-3303625767","1395714796","1396776636","0","1061840","1086.93","292480","197.1","281840","425.89","487520","463.94","NAN","SECDA0001544414","2","0"
"E_LOWV_DS_TOU","100493-5003367548","90462720","90591900","0","129180","134.15","26220","17.67","33060","49.96","69900","66.52","NAN","SECDA0001489614","2","0"
"E_LOWV_DS_TOU","100512-5007638580","1989632000","1991320000","0","1688000","1660.55","522000","351.78","356000","537.95","810000","770.82","NAN","SEEBA0000405514","1","0"
"E_LOWV_DS_TOU","100550-5000488214","4060478000","4063825800","0","3347800","3427.47","738400","497.61","798400","1206.46","1811000","1723.4","NAN","SECDA0001551814","2","0"
"E_DOM_1C","100576-3329319975","72162247","72206909","0","44662","93.68","0","0","0","0","0","0","NAN","SEADC0001841215","2","0"
"E_LOWV_DS_TOU","100582-3303631076","3420983727","3423214444","0","2230717","2245.82","575277","387.68","505440","763.77","1150000","1094.37","NAN","SECDA0000478414","2","0"
"E_LOWV_DS_TOU","1006394-5004951899","41789279","41823279","0","34000","35.8","6920","4.66","9600","14.51","17480","16.63","NAN","SECDA0000454314","1","1"
"E_LOWV_DS_TOU","100745-3303636825","1814316106","1815750225","0","1434119","1461.02","351840","237.1","346740","523.96","735539","699.96","NAN","SECDA0000496414","1","1"
"E_LOWV_DS_TOU","1007532-5004965083","100490289","100592809","0","102520","105.84","24160","16.28","26800","40.5","51560","49.07","NAN","SECDA0000470414","1","1"
"E_DOM_3C","1007544-5008542102","129808004","129931504","0","123500","259.05","0","0","0","0","0","0","NAN","SEBDC0000600514","1","1"
"E_DOM_BULK","1007554-5009405159","728740960","729382880","0","641920","977.39","0","0","0","0","0","0","NAN","SECDA0001437814","2","0"
"E_DOM_BULK","1007605-5004969657","316037260","316257880","0","220620","335.92","0","0","0","0","0","0","NAN","SECDA0000261414","2","0"
"E_DOM_1C","100761-3311049165","9523238","9538443","0","15205","27.16","0","0","0","0","0","0","NAN","SEADC0001762515","2","0"
"ENDOM3C68","1007816-5004969437","26609604","26780933","0","171329","278.2","0","0","0","0","0","0","NAN","SEBDC0000732414","1","1"
"E_DOM_BULK","1007840-5004970003","1566941120","1568069920","0","1128800","1718.71","0","0","0","0","0","0","NAN","SECDA0000119914","0","2"
"E_LOWV_DS_TOU","100787-9000012355","571800991","572370590","0","569599","612.95","88920","59.92","170880","258.22","309799","294.81","NAN","SECDA0001443614","1","1"
"E_DOM_1C","1007903-5009768960","44577027","44620493","0","43466","91.17","0","0","0","0","0","0","NAN","SEADC0001627314","1","1"
"E_DOM_1C","1007947-5005592117","29458383","29482107","0","23724","46.16","0","0","0","0","0","0","NAN","SEADC0001807915","1","1"
"E_LOWV_DS_TOU","100797-3303638444","200996714","201703514","0","706800","732.08","113200","76.29","162480","245.52","431120","410.27","NAN","SECDA0001449714","0","2"
"E_DOM_1C","1007971-5004973117","50171017","50175215","0","4198","6.41","0","0","0","0","0","0","NAN","SEADC0001752315","1","1"
"E_DOM_BULK","1008078-5009049701","1363642199","1364623799","0","981600","1494.58","0","0","0","0","0","0","NAN","SECDA0000226414","2","0"
"E_DOM_BULK","1008081-5004976719","1484106479","1485242799","0","1136320","1730.16","0","0","0","0","0","0","NAN","SECDA0000349714","2","0"
"E_DOM_1C","1008238-5004977406","52662096","52712565","0","50469","105.86","0","0","0","0","0","0","NAN","SEADC0001734815","2","0"
"E_DOM_1C","1008392-5004980279","38241624","38274846","0","33222","64.64","0","0","0","0","0","0","NAN","SEADC0001785415","2","0"
"ENDOM3C68","1008392-5007060474","6471833","6585705","0","113872","184.91","0","0","0","0","0","0","NAN","SEBDC0001000114","2","0"
"E_11KV_DS_TOU","100843-5002368916","641433300","641897700","0","464400","421.88","143400","88.23","101400","142.73","219600","190.92","NAN","SECDA0000276614","2","0"
"E_DOM_3C","1008756-5004990657","38703931","38727125","0","23194","45.13","0","0","0","0","0","0","NAN","SEBDC0000754414","1","1"
"E_DOM_BULK","1008783-5004990789","268250400","268465360","0","214960","327.3","0","0","0","0","0","0","NAN","SECDA0000360214","1","1"
"E_LOWV_DS_TOU","1008930-5004992528","428732732","429008916","0","276184","281.08","67216","45.3","65990","99.72","142978","136.06","NAN","SEBDC0000823214","1","1"
"E_DOM_BULK","1008986-5004993389","25059720","25205600","0","145880","222.12","0","0","0","0","0","0","NAN","SECDA0001447514","2","0"
"E_DOM_BULK","1009102-5004995705","269926360","270138040","0","211680","322.3","0","0","0","0","0","0","NAN","SECDA0001560614","2","0"
"E_LOWV_DS_TOU","1009225-5006674265","143456479","143545199","0","88720","89.77","20400","13.75","19680","29.74","48640","46.29","NAN","SECDA0000460014","2","0"
"E_LOWV_DS_TOU","1009259-5004997546","919173070","920029150","0","856080","866.82","175200","118.07","180180","272.27","500700","476.48","NAN","SECDA0000258914","1","1"
"E_DOM_BULK","1009271-5004997554","867370400","867947040","0","576640","877.99","0","0","0","0","0","0","NAN","SECDA0000183814","1","1"
"E_DOM_1C","1009326-5004997945","56249336","56296567","0","47231","99.07","0","0","0","0","0","0","NAN","SEADC0001950515","2","0"
"E_LOWV_DS_TOU","1009352-5005000709","144909282","144999462","0","90180","94.47","10359","6.98","20612","31.15","59209","56.35","NAN","SEBDC0000879014","2","0"
"E_LOWV_DS_TOU","1009366-5005803194","1017242798","1017835354","0","592556","615.21","113040","76.18","147839","223.4","331677","315.63","NAN","SECDA0000282214","1","1"
"E_DOM_1C","1009388-5009749761","28362224","28393494","0","31270","60.85","0","0","0","0","0","0","NAN","SEADC0001934715","1","1"
"E_DOM_1C","1009420-5005001356","25915994","25941609","0","25615","49.84","0","0","0","0","0","0","NAN","SEADC0001704715","1","1"